Starting Python script...
Python process started asynchronously.
Starting Python script...
Python process started asynchronously.
Starting Python script...
Python process started asynchronously.
Starting Python script...
Python process started asynchronously.
Starting Python script...
Python process started asynchronously.
Starting Python script...
Python process started asynchronously.
ERROR: pybullet build time: Jul 20 2024 21:48:44
Connected by ('127.0.0.1', 60471)
Received: C:\Users\Ayman Tarek\Desktop\pubullet_data\pybullet_data\franka_panda\panda.urdf,, (0.00, 5.00, 0.00),,(0.00000, 0.00000, 0.00000, 1.00000),, 1
(ExtExcitedDc),, (0, 0),, (1, 3)
starting message: C:\Users\Ayman Tarek\Desktop\pubullet_data\pybullet_data\franka_panda\panda.urdf,, (0.00, 5.00, 0.00),,(0.00000, 0.00000, 0.00000, 1.00000),, 1
(ExtExcitedDc),, (0, 0),, (1, 3)
Number of Parts: 2
Split Parts: ['C:\\Users\\Ayman Tarek\\Desktop\\pubullet_data\\pybullet_data\\franka_panda\\panda.urdf,, (0.00, 5.00, 0.00),,(0.00000, 0.00000, 0.00000, 1.00000),, 1', '(ExtExcitedDc),, (0, 0),, (1, 3)']
Urls: ['C:\\Users\\Ayman Tarek\\Desktop\\pubullet_data\\pybullet_data\\franka_panda\\panda.urdf']
Positions: [[0.0, 5.0, 0.0]]
Orientations: [[0.0, 0.0, 0.0, 1.0]]
Scalings: [1.0]
Motor Names: ['ExtExcitedDc']
Corresponding Robot Numbers: [0, 0]
Corresponding Joints: [1, 3]
env  0  :  [400.  38. 210. 210.  60.  60.  60.]
Motor 0, Step 0: omega: 0.00020877742186228775, torque: 0.11168009300899805, i_a: 59.67539360602271, i_e: 1.1008586351679126, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 1: omega: 0.0008792371157975499, torque: 0.222432561344954, i_a: 59.98129917936906, i_e: 2.1813912825198485, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 2: omega: 0.0019849884429598624, torque: 0.3306992273139896, i_a: 60.00072973238878, i_e: 3.2421098561825543, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 3: omega: 0.0035157926369503755, torque: 0.4369786767803499, i_a: 60.00903228237374, i_e: 4.283459850668693, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 4: omega: 0.005465543675047153, torque: 0.5420460699464174, i_a: 60.09595495971386, i_e: 5.305692031917811, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 5: omega: 0.007829170629192007, torque: 0.6435891179929049, i_a: 60.005476315916134, i_e: 6.309121389526519, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 6: omega: 0.010595311503009078, torque: 0.7444879773921294, i_a: 60.03897141731175, i_e: 7.294164007314032, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 7: omega: 0.013760127382174796, torque: 0.8426255740182689, i_a: 59.99973175767394, i_e: 8.261071972214154, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 8: omega: 0.01731300055748858, torque: 0.9394398043999779, i_a: 59.99945449830468, i_e: 9.210277897820893, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 9: omega: 0.021248284456848354, torque: 1.0344770032103148, i_a: 59.99925705977953, i_e: 10.142056986390253, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 10: omega: 0.02555894480717305, torque: 1.1277821833932664, i_a: 59.99977655448495, i_e: 11.056729248759034, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 11: omega: 0.030238116868017022, torque: 1.2193459614402966, i_a: 59.99881216709393, i_e: 11.954608838945937, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 12: omega: 0.03527894058999226, torque: 1.3093160976761802, i_a: 60.00200146588798, i_e: 12.836004149751234, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 13: omega: 0.04067525993009226, torque: 1.3970831875132446, i_a: 59.98106474051154, i_e: 13.701217930508257, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 14: omega: 0.04641863066960657, torque: 1.4839936250245838, i_a: 59.993266606238834, i_e: 14.550590022285443, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 15: omega: 0.0525039798842647, torque: 1.5707364833712032, i_a: 60.05870099622184, i_e: 15.384326033546792, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 16: omega: 0.058925383153139804, torque: 1.652794712891501, i_a: 60.00375456216899, i_e: 16.20285582373865, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 17: omega: 0.06567946640909214, torque: 1.7323011121502239, i_a: 59.919155194426345, i_e: 17.006258698066578, u_a: 60.0, u_e: 60.0, u_sup: 60.0
